ENTIDAD ADMINISTRADORA,COTIZANTES ,NO COTIZANTES ,ACTIVOS,INACTIVOS,TOTAL,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAXDAC                          ,91,245,91,245,336,,,,,,,,,,,,,,,,,,,,,,
FONPRECON - Ley 4/92,499,1888,499,1888,2387,,,,,,,,,,,,,,,,,,,,,,
FONPRECON - Ley 100/93,35,102,35,102,137,,,,,,,,,,,,,,,,,,,,,,
FONPRECON Total,534,1990,534,1990,2524,,,,,,,,,,,,,,,,,,,,,,
Pensiones de Antioquia,162,1,162,1,163,,,,,,,,,,,,,,,,,,,,,,
colpensiones,3045937,4036279,3666215,3416001,7082216,,,,,,,,,,,,,,,,,,,,,,
Total Prima Media,3046724,4038515,3667002,3418237,7085239,,,,,,,,,,,,,,,,,,,,,,
proteccion,2418304,3194805,2821768,2791341,5613109,,,,,,,,,,,,,,,,,,,,,,
porvenir,4561261,7311197,5435623,6436835,11872458,,,,,,,,,,,,,,,,,,,,,,
skandia,75582,51553,87116,40019,127135,,,,,,,,,,,,,,,,,,,,,,
colfondos,660509,1001258,768418,893349,1661767,,,,,,,,,,,,,,,,,,,,,,
skandia  alternativo,15,83,50,48,98,,,,,,,,,,,,,,,,,,,,,,
Total  Ahorro Individual ,7715671,11558896,9112975,10161592,19274567,,,,,,,,,,,,,,,,,,,,,,
Total Afiliados Al Sistema,10761608,15595175,12779190,13577593,26356783,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,